PID's,Point Type,name_code,name_code2,name_code3,name_code4
Coalescer and Filter,String,alrm,06,F,QT-
Coalescer and Filter,String,mode,06,F,QT-
Coalescer and Filter,Float32,mv,06,F,QT-
Coalescer and Filter,Float32,pv,06,F,QT-
Coalescer and Filter,String,alrm,03,L,QT-
Coalescer and Filter,String,mode,03,L,QT-
Coalescer and Filter,Float32,mv,03,L,QT-
Coalescer and Filter,Float32,pv,03,L,QT-
Coalescer and Filter,String,alrm,04,L,QT-
Coalescer and Filter,String,mode,04,L,QT-
Coalescer and Filter,Float32,mv,04,L,QT-
Coalescer and Filter,Float32,pv,04,L,QT-
Coalescer and Filter,String,alrm,02,P,QT-
Coalescer and Filter,Float32,pv,02,P,QT-
Coalescer and Filter,String,alrm,03,P,QT-
Coalescer and Filter,String,mode,03,P,QT-
Coalescer and Filter,Float32,mv,03,P,QT-
Coalescer and Filter,Float32,pv,03,P,QT-
Coalescer and Filter,Float32,c3tp03,09,P,QT-
Coalescer and Filter,String,alrm,10,P,QT-
Coalescer and Filter,Float32,pv,10,P,QT-
Coalescer and Filter,String,alrm,11,P,QT-
Coalescer and Filter,Float32,pv,11,P,QT-
Coalescer and Filter,String,alrm,12,P,QT-
Coalescer and Filter,Float32,pv,12,P,QT-
Quench Water Cooling,String,alrm,05,F,QT-
Quench Water Cooling,Float32,pv,05,F,QT-
Quench Water Cooling,Float32,pv,11,G,QT-
Quench Water Cooling,Float32,pv,20,G,QT-
Quench Water Cooling,String,mode,01-1,T,QT-
Quench Water Cooling,Float32,mv,01-1,T,QT-
Quench Water Cooling,String,alrm,07,T,QT-
Quench Water Cooling,Float32,pv,07,T,QT-
Quench Water Cooling,String,alrm,08,T,QT-
Quench Water Cooling,Float32,pv,08,T,QT-
Water Quench Tower,String,alrm,01,A,QT-
Water Quench Tower,Float32,pv,01,A,QT-
Water Quench Tower,String,alrm,02,A,QT-
Water Quench Tower,Float32,pv,02,A,QT-
Water Quench Tower,Float32,mv,01,F,QT-
Water Quench Tower,Float32,pv,01,F,QT-
Water Quench Tower,String,alrm,01,P,QT-
Water Quench Tower,Float32,pv,01,P,QT-
Water Quench Tower,String,alrm,02,T,QT-
Water Quench Tower,Float32,pv,02,T,QT-
Water Quench Tower,String,alrm,03,T,QT-
Water Quench Tower,Float32,pv,03,T,QT-
Water Quench Tower,String,alrm,04,T,QT-
Water Quench Tower,Float32,pv,04,T,QT-
Water Quench Tower,String,alrm,05,T,QT-
Water Quench Tower,Float32,pv,05,T,QT-
Water Quench Tower,String,alrm,06,T,QT-
Water Quench Tower,Float32,pv,06,T,QT-
Water Quench Tower,String,alrm,13,P,QT-
Water Quench Tower,Float32,pv,13,P,QT-
Water Quench Tower,Float32,mv,02,F,QT-
Water Quench Tower,Float32,pv,02,F,QT-
Water Quench Tower,Float32,mv,01,L,QT-
Water Quench Tower,Float32,pv,01,L,QT-
Water Quench Tower,Float32,pv,07,G,QT-
Water Quench Tower,Float32,pv,02,G,QT-
Water Quench Tower,Float32,pv,01,H,QT-
Water Quench Tower,String,alrm,04,F,QT-
Water Quench Tower,String,mode,04,F,QT-
Water Quench Tower,Float32,mv,04,F,QT-
Water Quench Tower,Float32,pv,04,F,QT-
Water Quench Tower,String,alrm,02,L,QT-
Water Quench Tower,String,mode,02,L,QT-
Water Quench Tower,Float32,mv,02,L,QT-
Water Quench Tower,Float32,pv,02,L,QT-
Water Quench Tower,Float32,pv,03,G,QT-
Water Quench Tower,Float32,pv,04,G,QT-
Water Quench Tower,Float32,pv,05,G,QT-
Water Quench Tower,Float32,pv,06,G,QT-
Water Quench Tower,String,alrm,03,F,QT-
Water Quench Tower,String,mode,03,F,QT-
condensate stripper,Float32,pv,01,A,DSG
condensate stripper,String,alrm,02,A,DSG
condensate stripper,Float32,pv,02,A,DSG
condensate stripper,String,alrm,01,F,DSG
condensate stripper,String,mode,01,F,DSG
condensate stripper,Float32,mv,01,F,DSG
condensate stripper,Float32,pv,01,F,DSG
condensate stripper,String,alrm,02,F,DSG
condensate stripper,String,mode,02,F,DSG
condensate stripper,Float32,mv,02,F,DSG
condensate stripper,Float32,pv,02,F,DSG
condensate stripper,String,alrm,03,F,DSG
condensate stripper,String,mode,03,F,DSG
condensate stripper,Float32,mv,03,F,DSG
condensate stripper,Float32,pv,03,F,DSG
condensate stripper,String,alrm,04,F,DSG
condensate stripper,String,mode,04,F,DSG
condensate stripper,Float32,mv,04,F,DSG
condensate stripper,Float32,pv,04,F,DSG
condensate stripper,Float32,sum,04,F,DSG
condensate stripper,String,alrm,05,F,DSG
condensate stripper,Float32,pv,05,F,DSG
condensate stripper,String,alrm,06,F,DSG
condensate stripper,Float32,pv,06,F,DSG
condensate stripper,String,alrm,07,F,DSG
condensate stripper,String,mode,07,F,DSG
condensate stripper,Float32,mv,07,F,DSG
condensate stripper,Float32,pv,07,F,DSG
condensate stripper,Float32,sum,07,F,DSG
condensate stripper,String,alrm,08,F,DSG
condensate stripper,Float32,pv,08,F,DSG
condensate stripper,Float32,pv,01,G,DSG
condensate stripper,Float32,pv,02,G,DSG
condensate stripper,String,alrm,01,L,DSG
condensate stripper,String,mode,01,L,DSG
condensate stripper,Float32,mv,01,L,DSG
condensate stripper,Float32,pv,01,L,DSG
condensate stripper,String,alrm,02,L,DSG
condensate stripper,String,mode,02,L,DSG
condensate stripper,Float32,mv,02,L,DSG
condensate stripper,Float32,pv,02,L,DSG
condensate stripper,String,alrm,03,L,DSG
condensate stripper,String,mode,03,L,DSG
condensate stripper,Float32,mv,03,L,DSG
condensate stripper,Float32,pv,03,L,DSG
condensate stripper,String,alrm,04,L,DSG
condensate stripper,Float32,pv,04,L,DSG
condensate stripper,String,alrm,05,L,DSG
condensate stripper,String,mode,05,L,DSG
condensate stripper,Float32,mv,05,L,DSG
condensate stripper,Float32,pv,05,L,DSG
condensate stripper,Float32,pv,06,L,DSG
condensate stripper,String,alrm,07,L,DSG
condensate stripper,String,mode,07,L,DSG
condensate stripper,Float32,mv,07,L,DSG
condensate stripper,Float32,pv,07,L,DSG
condensate stripper,Float32,mv,02-1,P,DSG
condensate stripper,Float32,mv,02-2,P,DSG
condensate stripper,String,alrm,02,P,DSG
condensate stripper,String,mode,02,P,DSG
condensate stripper,Float32,mv,02,P,DSG
condensate stripper,Float32,pv,02,P,DSG
condensate stripper,String,alrm,04,P,DSG
condensate stripper,Float32,pv,04,P,DSG
condensate stripper,Float32,pv,TAT,S,DSG
condensate stripper,String,alrm,01,T,DSG
condensate stripper,Float32,pv,01,T,DSG
condensate stripper,String,alrm,02,T,DSG
condensate stripper,Float32,pv,02,T,DSG
condensate stripper,String,alrm,03,T,DSG
condensate stripper,Float32,pv,03,T,DSG
condensate stripper,String,alrm,04,T,DSG
condensate stripper,String,mode,04,T,DSG
condensate stripper,Float32,pv,04,T,DSG
condensate stripper,Float32,pv,01,Z,DSG
dilution Steam Generation,String,alrm,04,F,DSG
dilution Steam Generation,String,mode,04,F,DSG
dilution Steam Generation,Float32,mv,04,F,DSG
dilution Steam Generation,Float32,pv,04,F,DSG
dilution Steam Generation,Float32,sum,04,F,DSG
dilution Steam Generation,String,alrm,06,F,DSG
dilution Steam Generation,Float32,pv,06,F,DSG
dilution Steam Generation,String,alrm,08,F,DSG
dilution Steam Generation,Float32,pv,08,F,DSG
dilution Steam Generation,String,alrm,03,L,DSG
dilution Steam Generation,String,mode,03,L,DSG
dilution Steam Generation,Float32,mv,03,L,DSG
dilution Steam Generation,Float32,pv,03,L,DSG
dilution Steam Generation,String,alrm,04,L,DSG
dilution Steam Generation,Float32,pv,04,L,DSG
